title,authors,pdf
Unmixing Diffusion for Self-Supervised Hyperspectral Image Denoising,"{Zeng, Haijin; Cao, Jiezhang; Zhang, Kai; Chen, Yongyong; Luong, Hiep; Philips, Wilfried}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zeng_Unmixing_Diffusion_for_CVPR_2024_supplemental.pdf
Seeing the World through Your Eyes,"{Alzayer, Hadi; Zhang, Kevin; Feng, Brandon; Metzler, Christopher A.; Huang, Jia-Bin}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Alzayer_Seeing_the_World_CVPR_2024_supplemental.pdf
DPMesh: Exploiting Diffusion Prior for Occluded Human Mesh Recovery,"{Zhu, Yixuan; Li, Ao; Tang, Yansong; Zhao, Wenliang; Zhou, Jie; Lu, Jiwen}",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhu_DPMesh_Exploiting_Diffusion_Prior_for_Occluded_Human_Mesh_Recovery_CVPR_2024_paper.pdf
Ungeneralizable Examples,"{Ye, Jingwen; Wang, Xinchao}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ye_Ungeneralizable_Examples_CVPR_2024_supplemental.pdf
LaneCPP: Continuous 3D Lane Detection using Physical Priors,"{Pittner, Maximilian; Janai, Joel; Condurache, Alexandru P.}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Pittner_LaneCPP_Continuous_3D_CVPR_2024_supplemental.pdf
CityDreamer: Compositional Generative Model of Unbounded 3D Cities,"{Xie, Haozhe; Chen, Zhaoxi; Hong, Fangzhou; Liu, Ziwei}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xie_CityDreamer_Compositional_Generative_CVPR_2024_supplemental.pdf
HEAL-SWIN: A Vision Transformer On The Sphere,"{Carlsson, Oscar; Gerken, Jan E.; Linander, Hampus; Spie{\ss}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Carlsson_HEAL-SWIN_A_Vision_CVPR_2024_supplemental.pdf
3D Paintbrush: Local Stylization of 3D Shapes with Cascaded Score Distillation,"{Decatur, Dale; Lang, Itai; Aberman, Kfir; Hanocka, Rana}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Decatur_3D_Paintbrush_Local_CVPR_2024_supplemental.pdf
Test-Time Linear Out-of-Distribution Detection,"{Fan, Ke; Liu, Tong; Qiu, Xingyu; Wang, Yikai; Huai, Lian; Shangguan, Zeyu; Gou, Shuang; Liu, Fengjian; Fu, Yuqian; Fu, Yanwei; Jiang, Xingqun}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Fan_Test-Time_Linear_Out-of-Distribution_CVPR_2024_supplemental.pdf
Guided Slot Attention for Unsupervised Video Object Segmentation,"{Lee, Minhyeok; Cho, Suhwan; Lee, Dogyoon; Park, Chaewon; Lee, Jungho; Lee, Sangyoun}",https://openaccess.thecvf.com/content/CVPR2024/papers/Lee_Guided_Slot_Attention_for_Unsupervised_Video_Object_Segmentation_CVPR_2024_paper.pdf
Unsupervised Blind Image Deblurring Based on Self-Enhancement,"{Chen, Lufei; Tian, Xiangpeng; Xiong, Shuhua; Lei, Yinjie; Ren, Chao}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Chen_Unsupervised_Blind_Image_CVPR_2024_supplemental.pdf
Action Detection via an Image Diffusion Process,"{Foo, Lin Geng; Li, Tianjiao; Rahmani, Hossein; Liu, Jun}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Foo_Action_Detection_via_CVPR_2024_supplemental.pdf
Programmable Motion Generation for Open-Set Motion Control Tasks,"{Liu, Hanchao; Zhan, Xiaohang; Huang, Shaoli; Mu, Tai-Jiang; Shan, Ying}",https://openaccess.thecvf.com/content/CVPR2024/papers/Liu_Programmable_Motion_Generation_for_Open-Set_Motion_Control_Tasks_CVPR_2024_paper.pdf
SCE-MAE: Selective Correspondence Enhancement with Masked Autoencoder for Self-Supervised Landmark Estimation,"{Yin, Kejia; Rao, Varshanth; Jiang, Ruowei; Liu, Xudong; Aarabi, Parham; Lindell, David B.}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Yin_SCE-MAE_Selective_Correspondence_CVPR_2024_supplemental.pdf
LAKE-RED: Camouflaged Images Generation by Latent Background Knowledge Retrieval-Augmented Diffusion,"{Zhao, Pancheng; Xu, Peng; Qin, Pengda; Fan, Deng-Ping; Zhang, Zhicheng; Jia, Guoli; Zhou, Bowen; Yang, Jufeng}",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhao_LAKE-RED_Camouflaged_Images_Generation_by_Latent_Background_Knowledge_Retrieval-Augmented_Diffusion_CVPR_2024_paper.pdf
TIGER: Time-Varying Denoising Model for 3D Point Cloud Generation with Diffusion Process,"{Ren, Zhiyuan; Kim, Minchul; Liu, Feng; Liu, Xiaoming}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ren_TIGER_Time-Varying_Denoising_CVPR_2024_supplemental.pdf
ConTex-Human: Free-View Rendering of Human from a Single Image with Texture-Consistent Synthesis,"{Gao, Xiangjun; Li, Xiaoyu; Zhang, Chaopeng; Zhang, Qi; Cao, Yanpei; Shan, Ying; Quan, Long}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Gao_ConTex-Human_Free-View_Rendering_CVPR_2024_supplemental.pdf
UFineBench: Towards Text-based Person Retrieval with Ultra-fine Granularity,"{Zuo, Jialong; Zhou, Hanyu; Nie, Ying; Zhang, Feng; Guo, Tianyu; Sang, Nong; Wang, Yunhe; Gao, Changxin}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zuo_UFineBench_Towards_Text-based_CVPR_2024_supplemental.pdf
Efficient Hyperparameter Optimization with Adaptive Fidelity Identification,"{Jiang, Jiantong; Wen, Zeyi; Mansoor, Atif; Mian, Ajmal}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Jiang_Efficient_Hyperparameter_Optimization_CVPR_2024_supplemental.pdf
ASH: Animatable Gaussian Splats for Efficient and Photoreal Human Rendering,"{Pang, Haokai; Zhu, Heming; Kortylewski, Adam; Theobalt, Christian; Habermann, Marc}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Pang_ASH_Animatable_Gaussian_CVPR_2024_supplemental.pdf
Focus on Hiders: Exploring Hidden Threats for Enhancing Adversarial Training,"{Li, Qian; Hu, Yuxiao; Dong, Yinpeng; Zhang, Dongxiao; Chen, Yuntian}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_Focus_on_Hiders_CVPR_2024_supplemental.pdf
